   1,H      ,H2     ,H      ,H     ,H  ,  , 4.7e-07,-1.00, 55000.0,CD
   2,H      ,C      ,CH     ,PHOTON,   ,  , 1.0e-17, 0.00,     0.0,NA
   3,H      ,CH     ,C      ,H2    ,   ,  , 5.0e-11, 0.00,     0.0,NE
   4,H      ,CH     ,C      ,H     ,H  ,  , 6.0e-09, 0.00, 40200.0,CD
   5,H      ,CH2    ,CH     ,H2    ,   ,  , 2.7e-10, 0.00,     0.0,NE
   6,H      ,NH     ,N      ,H2    ,   ,  , 1.7e-11, 0.50,  2400.0,NE
   7,H      ,CH3    ,CH2    ,H2    ,   ,  , 1.0e-10, 0.00,  7600.0,NE
   8,H      ,O      ,OH     ,PHOTON,   ,  , 9.9e-19,-0.38,     0.0,NA
   9,H      ,NH2    ,NH     ,H2    ,   ,  , 5.3e-12, 0.79,  2200.0,NE
  10,H      ,CH4    ,H2     ,CH3   ,   ,  , 5.8e-13, 3.00,  4045.0,NE
  11,H      ,OH     ,H2     ,O     ,   ,  , 7.0e-14, 2.80,  1950.0,NE
  12,H      ,OH     ,O      ,H     ,H  ,  , 6.0e-09, 0.00, 50900.0,CD
  13,H      ,NH3    ,NH2    ,H2    ,   ,  , 7.8e-13, 2.40,  4990.0,NE
  14,H      ,H2O    ,OH     ,H2    ,   ,  , 6.8e-12, 1.60,  9720.0,NE
  15,H      ,H2O    ,OH     ,H     ,H  ,  , 5.8e-09, 0.00, 52900.0,CD
  16,H      ,C2     ,CH     ,C     ,   ,  , 4.7e-10, 0.50, 30450.0,NE
  17,H      ,CO     ,C      ,OH    ,   ,  , 1.1e-10, 0.50, 77700.0,NE
  18,H      ,C2H3   ,C2H2   ,H2    ,   ,  , 2.0e-11, 0.00,     0.0,NE
  19,H      ,HCN    ,CN     ,H2    ,   ,  , 6.3e-10, 0.00, 12400.0,NE
  20,H      ,H2CN   ,HCN    ,H2    ,   ,  , 1.0e-10, 0.50,     0.0,NE
  21,H      ,HCO    ,CO     ,H2    ,   ,  , 1.5e-10, 0.00,     0.0,NE
  22,H      ,NO     ,NH     ,O     ,   ,  , 9.3e-10,-0.10, 35220.0,NE
  23,H      ,NO     ,OH     ,N     ,   ,  , 2.8e-10, 0.00, 24560.0,NE
  24,H      ,H2CO   ,HCO    ,H2    ,   ,  , 1.5e-11, 1.05,  1650.0,NE
  25,H      ,HNO    ,OH     ,NH    ,   ,  , 2.4e-09,-0.50,  9010.0,NE
  26,H      ,HNO    ,NO     ,H2    ,   ,  , 1.5e-11, 0.00,  1500.0,NE
  27,H      ,O2     ,OH     ,O     ,   ,  , 3.3e-10, 0.00,  8460.0,NE
  28,H      ,O2     ,O      ,O     ,H  ,  , 6.0e-09, 0.00, 52300.0,CD
  29,H      ,HS     ,S      ,H2    ,   ,  , 2.5e-11, 0.00,     0.0,NE
  30,H      ,O2H    ,H2O    ,O     ,   ,  , 5.0e-11, 0.00,   866.0,NE
  31,H      ,O2H    ,H2     ,O2    ,   ,  , 7.1e-11, 0.00,   710.0,NE
  32,H      ,O2H    ,OH     ,OH    ,   ,  , 2.8e-10, 0.00,   440.0,NE
  33,H      ,H2S    ,HS     ,H2    ,   ,  , 3.1e-12, 2.10,   352.0,NE
  34,H      ,H2O2   ,O2H    ,H2    ,   ,  , 2.8e-12, 0.00,  1890.0,NE
  35,H      ,CO2    ,OH     ,CO    ,   ,  , 2.5e-10, 0.00, 13300.0,NE
  36,H      ,N2O    ,NH     ,NO    ,   ,  , 2.9e-12, 0.50, 15100.0,NE
  37,H      ,N2O    ,OH     ,N2    ,   ,  , 1.3e-10, 0.00,  7600.0,NE
  38,H      ,NS     ,HS     ,N     ,   ,  , 7.3e-11, 0.50, 15700.0,NE
  39,H      ,NS     ,NH     ,S     ,   ,  , 7.3e-11, 0.50, 20735.0,NE
  40,H      ,NO2    ,OH     ,NO    ,   ,  , 1.4e-10, 0.00,   740.0,NE
  41,H      ,SO     ,HS     ,O     ,   ,  , 1.7e-11, 0.50, 19930.0,NE
  42,H      ,SO     ,OH     ,S     ,   ,  , 5.9e-10,-0.31, 11100.0,NE
  43,H      ,OCS    ,CO     ,HS    ,   ,  , 9.1e-12, 0.00,  1937.0,NE
  44,H      ,S2     ,HS     ,S     ,   ,  , 2.3e-10, 0.50,  8355.0,NE
  45,H2     ,ELECTR ,H      ,ELECTR,H  ,  , 3.2e-09, 0.35,102000.0,CD
  46,H2     ,H2     ,H      ,H     ,H2 ,  , 1.0e-08, 0.00, 84100.0,CD
  47,H2     ,C      ,CH2    ,PHOTON,   ,  , 1.0e-17, 0.00,     0.0,NA
  48,H2     ,CH     ,CH2    ,H     ,   ,  , 2.4e-10, 0.00,  1760.0,NE
  49,H2     ,CH     ,C      ,H     ,H2 ,  , 6.0e-09, 0.00, 40200.0,CD
  50,H2     ,CH2    ,CH3    ,H     ,   ,  , 5.2e-11, 0.17,  6400.0,NE
  51,H2     ,NH     ,NH2    ,H     ,   ,  , 6.0e-11, 0.00,  7782.0,NE
  52,H2     ,CH3    ,CH4    ,H     ,   ,  , 6.9e-14, 2.74,  4740.0,NE
  53,H2     ,NH2    ,NH3    ,H     ,   ,  , 2.1e-12, 0.00,  4277.0,NE
  54,H2     ,OH     ,H2O    ,H     ,   ,  , 1.6e-12, 1.60,  1660.0,NE
  55,H2     ,OH     ,O      ,H     ,H2 ,  , 6.0e-09, 0.00, 50900.0,CD
  56,H2     ,H2O    ,OH     ,H     ,H2 ,  , 5.8e-09, 0.00, 52900.0,CD
  57,H2     ,CN     ,HCN    ,H     ,   ,  , 3.5e-13, 3.31,   756.0,NE
  58,H2     ,O2     ,O2H    ,H     ,   ,  , 2.4e-10, 0.00, 28500.0,NE
  59,H2     ,O2     ,OH     ,OH    ,   ,  , 3.2e-10, 0.00, 21890.0,NE
  60,H2     ,O2     ,O      ,O     ,H2 ,  , 6.0e-09, 0.00, 52300.0,CD
  61,H2     ,HS     ,H2S    ,H     ,   ,  , 6.5e-12, 0.09,  8050.0,NE
  62,H2     ,O2H    ,H2O2   ,H     ,   ,  , 1.2e-12, 0.00,  9400.0,NE
  63,H2     ,CO2    ,H2O    ,CO    ,   ,  , 2.9e-14, 0.50,  7550.0,NE
  64,C      ,H2     ,CH     ,H     ,   ,  , 6.6e-10, 0.00, 11700.0,NE
  65,C      ,C      ,C2     ,PHOTON,   ,  , 1.0e-17, 0.00,     0.0,NA
  66,C      ,CH     ,C2     ,H     ,   ,  , 1.7e-11, 0.50,     0.0,NE
  67,C      ,N      ,CN     ,PHOTON,   ,  , 1.0e-17, 0.00,     0.0,NA
  68,C      ,CH2    ,C2H    ,H     ,   ,  , 5.0e-11, 0.50,     0.0,NE
  69,C      ,NH     ,CH     ,N     ,   ,  , 1.7e-11, 0.50,  4000.0,NE
  70,C      ,NH     ,CN     ,H     ,   ,  , 1.1e-10, 0.50,     0.0,NE
  71,C      ,O      ,CO     ,PHOTON,   ,  , 2.1e-19, 0.00,     0.0,NA
  72,C      ,NH2    ,HNC    ,H     ,   ,  , 2.0e-11, 0.50,     0.0,NE
  73,C      ,OH     ,CO     ,H     ,   ,  , 1.1e-10, 0.50,     0.0,NE
  74,C      ,OH     ,CH     ,O     ,   ,  , 2.3e-11, 0.50, 14800.0,NE
  75,C      ,C2H2   ,C3H    ,H     ,   ,  , 2.0e-10, 0.00,     0.0,NE
  76,C      ,CN     ,C2     ,N     ,   ,  , 5.0e-10, 0.00, 18116.0,NE
  77,C      ,CO     ,C2     ,O     ,   ,  , 2.9e-11, 0.50, 58025.0,NE
  78,C      ,N2     ,CN     ,N     ,   ,  , 1.1e-10, 0.00, 23160.0,NE
  79,C      ,C2H4   ,C3H3   ,H     ,   ,  , 2.0e-10, 0.00,     0.0,NE
  80,C      ,SIH    ,SIC    ,H     ,   ,  , 5.0e-11, 0.50,     0.0,NE
  81,C      ,HCO    ,CH     ,CO    ,   ,  , 1.0e-11, 0.00,     0.0,NE
  82,C      ,NO     ,CN     ,O     ,   ,  , 4.8e-11, 0.00,     0.0,NE
  83,C      ,NO     ,CO     ,N     ,   ,  , 1.7e-11, 0.50,  4000.0,NE
  84,C      ,SIH2   ,HCSI   ,H     ,   ,  , 5.0e-11, 0.50,     0.0,NE
  85,C      ,SIH3   ,SICH2  ,H     ,   ,  , 5.0e-11, 0.50,     0.0,NE
  86,C      ,PH     ,CP     ,H     ,   ,  , 4.0e-11, 0.00,     0.0,NE
  87,C      ,O2     ,CO     ,O     ,   ,  , 3.3e-11, 0.00,     0.0,NE
  88,C      ,HS     ,CS     ,H     ,   ,  , 2.0e-11, 0.00,     0.0,NE
